deriv(i("/M0/D" ?result "dc")) X,deriv(i("/M0/D" ?result "dc")) Y
0.01,1.236088163465158e-08
0.02,1.747201855644551e-08
0.03,2.397551739069372e-08
0.04,3.227748024659928e-08
0.05,4.289826706148474e-08
0.06,5.650374149669177e-08
0.07000000000000001,7.394462321393588e-08
0.08,9.630586836398389e-08
0.09,1.249683834307046e-07
0.1,1.61685810663904e-07
0.11,2.086796040126508e-07
0.12,2.687561383307579e-07
0.13,3.454501562061426e-07
0.14,4.431994524317332e-07
0.15,5.675563296136527e-07
0.16,7.254420498243254e-07
0.17,9.254513061275783e-07
0.18,1.178214739608722e-06
0.19,1.496828890018304e-06
0.2,1.897364921048488e-06
0.21,2.399470295855188e-06
0.22,3.027081596474025e-06
0.23,3.809272076725682e-06
0.24,4.781264187759621e-06
0.25,5.985644455832973e-06
0.26,7.473823914499293e-06
0.27,9.30778852988217e-06
0.28,1.156217573226101e-05
0.29,1.432668877551605e-05
0.3,1.770881307380518e-05
0.31,2.183672209492744e-05
0.32,2.686215320688159e-05
0.33,3.296290213943496e-05
0.34,4.034444523230817e-05
0.35,4.921770710006849e-05
0.36,5.981122102537652e-05
0.37,7.241389320334988e-05
0.38,8.730388735814219e-05
0.39,0.0001047580396714567
0.4,0.0001250380076902031
0.41,0.0001483743595057063
0.42,0.0001749500988845252
0.43,0.0002048852188583473
0.44,0.0002382239584740954
0.45,0.0002749262734263224
0.46,0.0003148646223755458
0.47,0.0003578265640774198
0.48,0.0004035229603490534
0.49,0.0004516009250715006
0.5,0.0005016601697241425
0.51,0.0005532711378853911
0.52,0.0006059933179551907
0.53,0.0006593922840766346
0.54,0.0007130543673726252
0.55,0.0007665982811556214
0.5600000000000001,0.0008196833965464185
0.5700000000000001,0.0008720147260509495
0.58,0.000923344933864272
0.59,0.0009734738568030631
0.6,0.001022246096039438
0.61,0.001069547243700565
0.62,0.001115299261010066
0.63,0.001159455446660616
0.64,0.001201995343000989
0.65,0.001242919836334294
0.66,0.001282246624661428
0.67,0.001320006156091846
0.68,0.001356238085538043
0.6900000000000001,0.001390988255803927
0.7000000000000001,0.00142430618020835
0.71,0.001456242985347821
0.72,0.001486849762241659
0.73,0.001516176269850555
0.74,0.001544269935011091
0.75,0.001571175095721904
0.76,0.001596932439350061
0.77,0.001621578592866716
0.78,0.001645145828116513
0.79,0.001667661851033199
0.8,0.001689149649434963
0.8100000000000001,0.001709627379495384
0.8200000000000001,0.001729108276245574
0.8300000000000001,0.001747600578561074
0.84,0.00176510746419048
0.85,0.001781626995613326
0.86,0.001797152082997465
0.87,0.001811670476368879
0.88,0.001825164805262766
0.89,0.001837612690481906
0.9,0.001848986958740251
0.91,0.001859255996302298
0.92,0.001868384281228622
0.93,0.001876333134216407
0.9400000000000001,0.001883061723668184
0.9500000000000001,0.001888528349898529
0.96,0.001892692014979331
0.97,0.001895514258124299
0.98,0.001896961202700477
0.99,0.001897005722934786
1,0.001895629601281644
